Name,Year,Visitors
Big_Bend,2017,440276
Big_Bend,2016,388290
Big_Bend,2015,381747
Big_Bend,2014,314102
Big_Bend,2013,316953
Big_Bend,2012,292055
Big_Bend,2011,361862
Big_Bend,2010,372330
Big_Bend,2009,363905
Big_Bend,2008,362512
Big_Bend,2007,364856
Big_Bend,2006,298717
Big_Bend,2005,398583
Big_Bend,2004,357723
Big_Bend,2003,312384
Big_Bend,2002,327747
Big_Bend,2001,328927
Big_Bend,2000,262320
Big_Bend,1999,327649
Big_Bend,1998,338442
Big_Bend,1997,305882
Big_Bend,1996,279454
Big_Bend,1995,295460
Big_Bend,1994,330417
Big_Bend,1993,327907
Big_Bend,1992,294535
Big_Bend,1991,296470
Big_Bend,1990,257378
Big_Bend,1989,281728
Big_Bend,1988,239595
Big_Bend,1987,227921
Big_Bend,1986,200622
Big_Bend,1985,188045
Big_Bend,1984,167665
Big_Bend,1983,164926
Big_Bend,1982,180144
Big_Bend,1981,167332
Big_Bend,1980,174008
Big_Bend,1979,282941
Biscayne,2019,708522
Biscayne,2018,469253
Biscayne,2017,446961
Biscayne,2016,514709
Biscayne,2015,508164
Biscayne,2014,525745
Biscayne,2013,486848
Biscayne,2012,495613
Biscayne,2011,476077
Biscayne,2010,467612
Biscayne,2009,437745
Biscayne,2008,686062
Biscayne,2007,517442
Biscayne,2006,608836
Biscayne,2005,563728
Biscayne,2004,478304
Biscayne,2003,490031
Biscayne,2002,513397
Biscayne,2001,489343
Biscayne,2000,393151
Biscayne,1999,442585
Biscayne,1998,403239
Biscayne,1997,392069
Biscayne,1996,338603
Biscayne,1995,584519
Biscayne,1994,25147
Biscayne,1993,19950
Biscayne,1992,307512
Biscayne,1991,488134
Biscayne,1990,573376
Biscayne,1989,589957
Biscayne,1988,531036
Biscayne,1987,607968
Biscayne,1986,578013
Biscayne,1985,460921
Biscayne,1984,340567
Biscayne,1983,369082
Biscayne,1982,348219
Biscayne,1981,305502
Biscayne,1980,248071
Biscayne,1979,202938
Black Canyon of the Gunnison,2019,432818
Black Canyon of the Gunnison,2018,308962
Black Canyon of the Gunnison,2017,307143
Black Canyon of the Gunnison,2016,238018
Black Canyon of the Gunnison,2015,209166
Black Canyon of the Gunnison,2014,183045
Black Canyon of the Gunnison,2013,175852
Black Canyon of the Gunnison,2012,192570
Black Canyon of the Gunnison,2011,168336
Black Canyon of the Gunnison,2010,176344
Black Canyon of the Gunnison,2009,171451
Black Canyon of the Gunnison,2008,160185
Black Canyon of the Gunnison,2007,219576
Black Canyon of the Gunnison,2006,160450
Black Canyon of the Gunnison,2005,180814
Black Canyon of the Gunnison,2004,175581
Black Canyon of the Gunnison,2003,167247
Black Canyon of the Gunnison,2002,173687
Black Canyon of the Gunnison,2001,181018
Black Canyon of the Gunnison,2000,191506
Black Canyon of the Gunnison,1999,200142
Black Canyon of the Gunnison,1998,193451
Black Canyon of the Gunnison,1997,209863
Black Canyon of the Gunnison,1996,200125
Black Canyon of the Gunnison,1995,221113
Black Canyon of the Gunnison,1994,214194
Black Canyon of the Gunnison,1993,319322
Black Canyon of the Gunnison,1992,337209
Black Canyon of the Gunnison,1991,316336
Black Canyon of the Gunnison,1990,275323
Black Canyon of the Gunnison,1989,288586
Black Canyon of the Gunnison,1988,269073
Black Canyon of the Gunnison,1987,285439
Black Canyon of the Gunnison,1986,289117
Black Canyon of the Gunnison,1985,266012
Black Canyon of the Gunnison,1984,253048
Black Canyon of the Gunnison,1983,291618
Black Canyon of the Gunnison,1982,227428
Black Canyon of the Gunnison,1981,266604
Black Canyon of the Gunnison,1980,336119
Black Canyon of the Gunnison,1979,234286
Bryce Canyon,2019,2594904
Bryce Canyon,2018,2679478
Bryce Canyon,2017,2571684
Bryce Canyon,2016,2365110
Bryce Canyon,2015,1745804
Bryce Canyon,2014,1435741
Bryce Canyon,2013,1311875
Bryce Canyon,2012,1385352
Bryce Canyon,2011,1296000
Bryce Canyon,2010,1285492
Bryce Canyon,2009,1216377
Bryce Canyon,2008,1043321
Bryce Canyon,2007,1012563
Bryce Canyon,2006,890676
Bryce Canyon,2005,1017681
Bryce Canyon,2004,987253
Bryce Canyon,2003,903760
Bryce Canyon,2002,886436
Bryce Canyon,2001,1068619
Bryce Canyon,2000,1099275
Bryce Canyon,1999,1081521
Bryce Canyon,1998,1166331
Bryce Canyon,1997,1174824
Bryce Canyon,1996,1269600
Bryce Canyon,1995,994548
Bryce Canyon,1994,1028134
Bryce Canyon,1993,1107951
Bryce Canyon,1992,1018174
Bryce Canyon,1991,929067
Bryce Canyon,1990,862659
Bryce Canyon,1989,808045
Bryce Canyon,1988,791348
Bryce Canyon,1987,718342
Bryce Canyon,1986,578018
Bryce Canyon,1985,500782
Bryce Canyon,1984,495104
Bryce Canyon,1983,472633
Bryce Canyon,1982,471517
Bryce Canyon,1981,474092
Bryce Canyon,1980,571541
Bryce Canyon,1979,558095
Canyonlands,2019,733996
Canyonlands,2018,739449
Canyonlands,2017,742271
Canyonlands,2016,776218
Canyonlands,2015,634607
Canyonlands,2014,542431
Canyonlands,2013,462242
Canyonlands,2012,452952
Canyonlands,2011,473773
Canyonlands,2010,435908
Canyonlands,2009,436241
Canyonlands,2008,436715
Canyonlands,2007,417560
Canyonlands,2006,392537
Canyonlands,2005,393381
Canyonlands,2004,371706
Canyonlands,2003,386986
Canyonlands,2002,367078
Canyonlands,2001,368592
Canyonlands,2000,401558
Canyonlands,1999,446160
Canyonlands,1998,436524
Canyonlands,1997,432697
Canyonlands,1996,447527
Canyonlands,1995,448769
Canyonlands,1994,429921
Canyonlands,1993,434844
Canyonlands,1992,395698
Canyonlands,1991,339315
Canyonlands,1990,276831
Canyonlands,1989,257411
Canyonlands,1988,212100
Canyonlands,1987,172384
Canyonlands,1986,172987
Canyonlands,1985,116672
Canyonlands,1984,102533
Canyonlands,1983,100022
Canyonlands,1982,97079
Canyonlands,1981,89915
Canyonlands,1980,56505
Canyonlands,1979,74545
Capitol Reef,2019,1226519
Capitol Reef,2018,1227627
Capitol Reef,2017,1150165
Capitol Reef,2016,1064904
Capitol Reef,2015,941029
Capitol Reef,2014,786514
Capitol Reef,2013,663670
Capitol Reef,2012,673345
Capitol Reef,2011,668834
Capitol Reef,2010,662661
Capitol Reef,2009,617208
Capitol Reef,2008,604811
Capitol Reef,2007,554907
Capitol Reef,2006,511511
Capitol Reef,2005,550255
Capitol Reef,2004,549708
Capitol Reef,2003,535441
Capitol Reef,2002,525646
Capitol Reef,2001,527760
Capitol Reef,2000,612656
Capitol Reef,1999,680153
Capitol Reef,1998,656026
Capitol Reef,1997,625680
Capitol Reef,1996,678012
Capitol Reef,1995,648864
Capitol Reef,1994,605324
Capitol Reef,1993,610707
Capitol Reef,1992,675837
Capitol Reef,1991,618056
Capitol Reef,1990,562477
Capitol Reef,1989,515278
Capitol Reef,1988,469556
Capitol Reef,1987,428808
Capitol Reef,1986,383742
Capitol Reef,1985,320503
Capitol Reef,1984,296230
Capitol Reef,1983,331734
Capitol Reef,1982,289486
Capitol Reef,1981,397789
Capitol Reef,1980,342788
Capitol Reef,1979,288860
Calsbad Caverns,2019,440691
Calsbad Caverns,2018,465912
Calsbad Caverns,2017,520026
Calsbad Caverns,2016,466773
Calsbad Caverns,2015,445720
Calsbad Caverns,2014,397309
Calsbad Caverns,2013,388566
Calsbad Caverns,2012,381058
Calsbad Caverns,2011,365000
Calsbad Caverns,2010,428524
Calsbad Caverns,2009,432639
Calsbad Caverns,2008,400381
Calsbad Caverns,2007,409560
Calsbad Caverns,2006,407367
Calsbad Caverns,2005,413786
Calsbad Caverns,2004,419599
Calsbad Caverns,2003,457631
Calsbad Caverns,2002,476259
Calsbad Caverns,2001,455621
Calsbad Caverns,2000,469303
Calsbad Caverns,1999,514418
Calsbad Caverns,1998,522076
Calsbad Caverns,1997,540797
Calsbad Caverns,1996,557217
Calsbad Caverns,1995,588609
Calsbad Caverns,1994,617087
Calsbad Caverns,1993,687161
Calsbad Caverns,1992,688742
Calsbad Caverns,1991,679450
Calsbad Caverns,1990,747016
Calsbad Caverns,1989,792378
Calsbad Caverns,1988,786135
Calsbad Caverns,1987,781300
Calsbad Caverns,1986,752552
Calsbad Caverns,1985,732482
Calsbad Caverns,1984,712989
Calsbad Caverns,1983,712247
Calsbad Caverns,1982,781963
Calsbad Caverns,1981,771766
Calsbad Caverns,1980,672963
Calsbad Caverns,1979,721647
Channel Islands,2019,409630
Channel Islands,2018,366250
Channel Islands,2017,383687
Channel Islands,2016,364807
Channel Islands,2015,324816
Channel Islands,2014,342161
Channel Islands,2013,212029
Channel Islands,2012,249594
Channel Islands,2011,242756
Channel Islands,2010,277515
Channel Islands,2009,348745
Channel Islands,2008,332177
Channel Islands,2007,360806
Channel Islands,2006,375256
Channel Islands,2005,434107
Channel Islands,2004,537716
Channel Islands,2003,585919
Channel Islands,2002,613935
Channel Islands,2001,520428
Channel Islands,2000,482571
Channel Islands,1999,607057
Channel Islands,1998,574270
Channel Islands,1997,488757
Channel Islands,1996,490715
Channel Islands,1995,525882
Channel Islands,1994,175226
Channel Islands,1993,184867
Channel Islands,1992,169181
Channel Islands,1991,149263
Channel Islands,1990,144083
Channel Islands,1989,152662
Channel Islands,1988,168592
Channel Islands,1987,174607
Channel Islands,1986,172913
Channel Islands,1985,164132
Channel Islands,1984,203411
Channel Islands,1983,205024
Channel Islands,1982,172287
Channel Islands,1981,87514
Channel Islands,1980,104574
Channel Islands,1979,82937
Congaree,2019,159445
Congaree,2018,145929
Congaree,2017,159595
Congaree,2016,143843
Congaree,2015,87513
Congaree,2014,120122
Congaree,2013,120340
Congaree,2012,109685
Congaree,2011,120166
Congaree,2010,121208
Congaree,2009,122970
Congaree,2008,104913
Congaree,2007,115524
Congaree,2006,134045
Congaree,2005,84301
Congaree,2004,126247
Congaree,2003,107114
Congaree,2002,101620
Congaree,2001,119738
Congaree,2000,95619
Congaree,1999,82223
Congaree,1998,93725
Congaree,1997,70716
Congaree,1996,62614
Congaree,1995,67949
Congaree,1994,67756
Congaree,1993,54669
Congaree,1992,40018
Congaree,1991,30975
Congaree,1990,23223
Congaree,1989,25445
Congaree,1988,26257
Congaree,1987,20312
Congaree,1986,16508
Congaree,1985,12332
Crater Lake,2019,704512
Crater Lake,2018,720659
Crater Lake,2017,711749
Crater Lake,2016,756344
Crater Lake,2015,614712
Crater Lake,2014,535508
Crater Lake,2013,523027
Crater Lake,2012,447251
Crater Lake,2011,423551
Crater Lake,2010,448319
Crater Lake,2009,446516
Crater Lake,2008,415686
Crater Lake,2007,468958
Crater Lake,2006,388972
Crater Lake,2005,447240
Crater Lake,2004,417066
Crater Lake,2003,479183
Crater Lake,2002,456620
Crater Lake,2001,457373
Crater Lake,2000,426883
Crater Lake,1999,417992
Crater Lake,1998,471865
Crater Lake,1997,451548
Crater Lake,1996,476957
Crater Lake,1995,496041
Crater Lake,1994,454215
Crater Lake,1993,381747
Crater Lake,1992,461668
Crater Lake,1991,456931
Crater Lake,1990,384941
Crater Lake,1989,430734
Crater Lake,1988,443430
Crater Lake,1987,460550
Crater Lake,1986,402789
Crater Lake,1985,390604
Crater Lake,1984,419829
Crater Lake,1983,379008
Crater Lake,1982,435589
Crater Lake,1981,503404
Crater Lake,1980,455143
Crater Lake,1979,410749
Cuyahoga Valley,2019,2237997
Cuyahoga Valley,2018,2096053
Cuyahoga Valley,2017,2226879
Cuyahoga Valley,2016,2423390
Cuyahoga Valley,2015,2284612
Cuyahoga Valley,2014,2189849
Cuyahoga Valley,2013,2103010
Cuyahoga Valley,2012,2299722
Cuyahoga Valley,2011,2161185
Cuyahoga Valley,2010,2492670
Cuyahoga Valley,2009,2589288
Cuyahoga Valley,2008,2828233
Cuyahoga Valley,2007,2486656
Cuyahoga Valley,2006,2468816
Cuyahoga Valley,2005,2533827
Cuyahoga Valley,2004,3306175
Cuyahoga Valley,2003,2879591
Cuyahoga Valley,2002,3217935
Cuyahoga Valley,2001,3123353
Cuyahoga Valley,2000,3324918
Cuyahoga Valley,1999,3324284
Cuyahoga Valley,1998,3467107
Cuyahoga Valley,1997,3527837
Cuyahoga Valley,1996,3455878
Cuyahoga Valley,1995,3195207
Cuyahoga Valley,1994,3266401
Cuyahoga Valley,1993,2266139
Cuyahoga Valley,1992,1430382
Cuyahoga Valley,1991,1358984
Cuyahoga Valley,1990,1200622
Cuyahoga Valley,1989,1159648
Cuyahoga Valley,1988,1229717
Cuyahoga Valley,1987,1113405
Cuyahoga Valley,1986,1042148
Cuyahoga Valley,1985,1004858
Cuyahoga Valley,1984,1018828
Cuyahoga Valley,1983,939562
Cuyahoga Valley,1982,717815
Cuyahoga Valley,1981,596300
Cuyahoga Valley,1980,563300
Cuyahoga Valley,1979,543025
Death Valley,2019,1740945
Death Valley,2018,1678660
Death Valley,2017,1294827
Death Valley,2016,1296283
Death Valley,2015,1154843
Death Valley,2014,1101312
Death Valley,2013,951972
Death Valley,2012,984568
Death Valley,2011,946867
Death Valley,2010,984775
Death Valley,2009,828574
Death Valley,2008,871938
Death Valley,2007,704122
Death Valley,2006,744440
Death Valley,2005,800113
Death Valley,2004,764820
Death Valley,2003,890375
Death Valley,2002,897596
Death Valley,2001,1014636
Death Valley,2000,1179094
Death Valley,1999,1227583
Death Valley,1998,1177746
Death Valley,1997,1188212
Death Valley,1996,1189215
Death Valley,1995,1109421
Death Valley,1994,971487
Death Valley,1993,998474
Death Valley,1992,869183
Death Valley,1991,743608
Death Valley,1990,690965
Death Valley,1989,664449
Death Valley,1988,692267
Death Valley,1987,665345
Death Valley,1986,586668
Death Valley,1985,576679
Death Valley,1984,621197
Death Valley,1983,635582
Death Valley,1982,679992
Death Valley,1981,630402
Death Valley,1980,618140
Death Valley,1979,631152
Denali,2019,601152
Denali,2018,594660
Denali,2017,642809
Denali,2016,587412
Denali,2015,560757
Denali,2014,531315
Denali,2013,530922
Denali,2012,388433
Denali,2011,406582
Denali,2010,378855
Denali,2009,358041
Denali,2008,432309
Denali,2007,458308
Denali,2006,415935
Denali,2005,403520
Denali,2004,404236
Denali,2003,360189
Denali,2002,311335
Denali,2001,360191
Denali,2000,363983
Denali,1999,386867
Denali,1998,372519
Denali,1997,354278
Denali,1996,341385
Denali,1995,543309
Denali,1994,490311
Denali,1993,505565
Denali,1992,503674
Denali,1991,558870
Denali,1990,546693
Denali,1989,543640
Denali,1988,592431
Denali,1987,575013
Denali,1986,529749
Denali,1985,436545
Denali,1984,395099
Denali,1983,346082
Denali,1982,321868
Denali,1981,256593
Denali,1980,216361
Denali,1979,251105
Dry Tortugas,2019,79200
Dry Tortugas,2018,56810
Dry Tortugas,2017,54281
Dry Tortugas,2016,73661
Dry Tortugas,2015,70862
Dry Tortugas,2014,64865
Dry Tortugas,2013,58401
Dry Tortugas,2012,60550
Dry Tortugas,2011,75171
Dry Tortugas,2010,53890
Dry Tortugas,2009,52011
Dry Tortugas,2008,63947
Dry Tortugas,2007,60895
Dry Tortugas,2006,64122
Dry Tortugas,2005,61765
Dry Tortugas,2004,67917
Dry Tortugas,2003,74741
Dry Tortugas,2002,79582
Dry Tortugas,2001,79186
Dry Tortugas,2000,83704
Dry Tortugas,1999,74186
Dry Tortugas,1998,60136
Dry Tortugas,1997,47224
Dry Tortugas,1996,35127
Dry Tortugas,1995,32870
Dry Tortugas,1994,16736
Dry Tortugas,1993,24020
Dry Tortugas,1992,21581
Dry Tortugas,1991,18231
Dry Tortugas,1990,19402
Dry Tortugas,1989,19441
Dry Tortugas,1988,16937
Dry Tortugas,1987,16315
Dry Tortugas,1986,15379
Dry Tortugas,1985,13213
Dry Tortugas,1984,11900
Dry Tortugas,1983,11004
Dry Tortugas,1982,10700
Dry Tortugas,1981,10150
Dry Tortugas,1980,8644
Dry Tortugas,1979,9076
Everglades,2019,1118300
Everglades,2018,597124
Everglades,2017,1018557
Everglades,2016,930907
Everglades,2015,1077427
Everglades,2014,1110901
Everglades,2013,1047116
Everglades,2012,1141906
Everglades,2011,934351
Everglades,2010,915538
Everglades,2009,900882
Everglades,2008,822118
Everglades,2007,1074764
Everglades,2006,954022
Everglades,2005,1233837
Everglades,2004,1181355
Everglades,2003,1040648
Everglades,2002,968909
Everglades,2001,1049851
Everglades,2000,995390
Everglades,1999,1073982
Everglades,1998,1118215
Everglades,1997,989532
Everglades,1996,890167
Everglades,1995,820466
Everglades,1994,886455
Everglades,1993,973706
Everglades,1992,1025686
Everglades,1991,1292014
Everglades,1990,957925
Everglades,1989,913372
Everglades,1988,1026188
Everglades,1987,787493
Everglades,1986,739072
Everglades,1985,697646
Everglades,1984,628658
Everglades,1983,577439
Everglades,1982,550168
Everglades,1981,564721
Everglades,1980,744244
Everglades,1979,718102
Gates_of_the_Arctic,2019,10518
Gates_of_the_Arctic,2018,9591
Gates_of_the_Arctic,2017,11177
Gates_of_the_Arctic,2016,10047
Gates_of_the_Arctic,2015,10745
Gates_of_the_Arctic,2014,12669
Gates_of_the_Arctic,2013,11012
Gates_of_the_Arctic,2012,10899
Gates_of_the_Arctic,2011,11623
Gates_of_the_Arctic,2010,10840
Gates_of_the_Arctic,2009,9975
Gates_of_the_Arctic,2008,11397
Gates_of_the_Arctic,2007,10942
Gates_of_the_Arctic,2006,9982
Gates_of_the_Arctic,2005,9459
Gates_of_the_Arctic,2004,10282
Gates_of_the_Arctic,2003,5075
Gates_of_the_Arctic,2002,6648
Gates_of_the_Arctic,2001,4505
Gates_of_the_Arctic,2000,11278
Gates_of_the_Arctic,1999,8166
Gates_of_the_Arctic,1998,8266
Gates_of_the_Arctic,1997,6949
Gates_of_the_Arctic,1996,6448
Gates_of_the_Arctic,1995,7074
Gates_of_the_Arctic,1994,1726
Gates_of_the_Arctic,1993,2245
Gates_of_the_Arctic,1992,2116
Gates_of_the_Arctic,1991,1154
Gates_of_the_Arctic,1990,1010
Gates_of_the_Arctic,1989,822
Gates_of_the_Arctic,1988,1258
Gates_of_the_Arctic,1987,1060
Gates_of_the_Arctic,1986,2801
Gates_of_the_Arctic,1985,1381
Gates_of_the_Arctic,1984,2440
Gates_of_the_Arctic,1983,2138
Gates_of_the_Arctic,1982,1381
Gateway_Arch,2019,2055309
Gateway_Arch,2018,2016180
Gateway_Arch,2017,1398188
Gateway_Arch,2016,1271855
Gateway_Arch,2015,1698656
Gateway_Arch,2014,1817091
Gateway_Arch,2013,2377258
Gateway_Arch,2012,2496726
Gateway_Arch,2011,2259020
Gateway_Arch,2010,2436110
Gateway_Arch,2009,2360109
Gateway_Arch,2008,1954810
Gateway_Arch,2007,2385387
Gateway_Arch,2006,2572072
Gateway_Arch,2005,2944976
Gateway_Arch,2004,2779350
Gateway_Arch,2003,2685219
Gateway_Arch,2002,3333454
Gateway_Arch,2001,3532524
Gateway_Arch,2000,3458956
Gateway_Arch,1999,3481042
Gateway_Arch,1998,3420352
Gateway_Arch,1997,3420076
Gateway_Arch,1996,3649308
Gateway_Arch,1995,3234977
Gateway_Arch,1994,2553696
Gateway_Arch,1993,2539740
Gateway_Arch,1992,2415514
Gateway_Arch,1991,2622425
Gateway_Arch,1990,2382612
Gateway_Arch,1989,2518712
Gateway_Arch,1988,2477458
Gateway_Arch,1987,2364694
Gateway_Arch,1986,2311147
Gateway_Arch,1985,2140316
Gateway_Arch,1984,1709993
Gateway_Arch,1983,2948022
Gateway_Arch,1982,2967323
Gateway_Arch,1981,2282261
Gateway_Arch,1980,1928825
Gateway_Arch,1979,1859431
Glacier Bay,2019,672087
Glacier Bay,2018,597915
Glacier Bay,2017,547057
Glacier Bay,2016,520171
Glacier Bay,2015,551353
Glacier Bay,2014,500727
Glacier Bay,2013,500590
Glacier Bay,2012,454337
Glacier Bay,2011,431986
Glacier Bay,2010,444530
Glacier Bay,2009,438361
Glacier Bay,2008,418911
Glacier Bay,2007,438211
Glacier Bay,2006,413382
Glacier Bay,2005,359829
Glacier Bay,2004,353686
Glacier Bay,2003,366319
Glacier Bay,2002,408143
Glacier Bay,2001,380114
Glacier Bay,2000,384684
Glacier Bay,1999,442607
Glacier Bay,1998,403512
Glacier Bay,1997,347046
Glacier Bay,1996,304374
Glacier Bay,1995,252265
Glacier Bay,1994,250614
Glacier Bay,1993,242276
Glacier Bay,1992,211424
Glacier Bay,1991,203653
Glacier Bay,1990,186427
Glacier Bay,1989,150270
Glacier Bay,1988,148756
Glacier Bay,1987,130926
Glacier Bay,1986,136877
Glacier Bay,1985,130943
Glacier Bay,1984,108297
Glacier Bay,1983,92057
Glacier Bay,1982,90354
Glacier Bay,1981,85071
Glacier Bay,1980,95005
Glacier Bay,1979,91032
Glacier,2019,3049839
Glacier,2018,2965309
Glacier,2017,3305512
Glacier,2016,2946681
Glacier,2015,2366056
Glacier,2014,2338528
Glacier,2013,2190374
Glacier,2012,2162035
Glacier,2011,1853564
Glacier,2010,2200048
Glacier,2009,2031348
Glacier,2008,1808027
Glacier,2007,2083329
Glacier,2006,1964399
Glacier,2005,1925101
Glacier,2004,2033933
Glacier,2003,1664046
Glacier,2002,1905689
Glacier,2001,1680614
Glacier,2000,1728693
Glacier,1999,1684604
Glacier,1998,1830944
Glacier,1997,1708856
Glacier,1996,1720805
Glacier,1995,1839518
Glacier,1994,2152989
Glacier,1993,2141704
Glacier,1992,2199767
Glacier,1991,2096966
Glacier,1990,1986737
Glacier,1989,1821523
Glacier,1988,1817733
Glacier,1987,1660737
Glacier,1986,1579151
Glacier,1985,1603011
Glacier,1984,1946703
Glacier,1983,2203847
Glacier,1982,1666114
Glacier,1981,1786523
Glacier,1980,1474578
Glacier,1979,1446086
Grand Canyon,2019,5974411
Grand Canyon,2018,6380495
Grand Canyon,2017,6254238
Grand Canyon,2016,5969811
Grand Canyon,2015,5520736
Grand Canyon,2014,4756771
Grand Canyon,2013,4564840
Grand Canyon,2012,4421352
Grand Canyon,2011,4298178
Grand Canyon,2010,4388386
Grand Canyon,2009,4348068
Grand Canyon,2008,4425314
Grand Canyon,2007,4413668
Grand Canyon,2006,4279439
Grand Canyon,2005,4401522
Grand Canyon,2004,4326234
Grand Canyon,2003,4124900
Grand Canyon,2002,4001974
Grand Canyon,2001,4104809
Grand Canyon,2000,4460228
Grand Canyon,1999,4575124
Grand Canyon,1998,4239682
Grand Canyon,1997,4791668
Grand Canyon,1996,4537703
Grand Canyon,1995,4557645
Grand Canyon,1994,4364316
Grand Canyon,1993,4575602
Grand Canyon,1992,4203545
Grand Canyon,1991,3886031
Grand Canyon,1990,3776685
Grand Canyon,1989,3966209
Grand Canyon,1988,3859886
Grand Canyon,1987,3513030
Grand Canyon,1986,3035787
Grand Canyon,1985,2711529
Grand Canyon,1984,2173584
Grand Canyon,1983,2248082
Grand Canyon,1982,2293127
Grand Canyon,1981,2472270
Grand Canyon,1980,2304973
Grand Canyon,1979,2131716
Grand Teton,2019,3405614
Grand Teton,2018,3491151
Grand Teton,2017,3317000
Grand Teton,2016,3270076
Grand Teton,2015,3149921
Grand Teton,2014,2791392
Grand Teton,2013,2688794
Grand Teton,2012,2705256
Grand Teton,2011,2587437
Grand Teton,2010,2669374
Grand Teton,2009,2580081
Grand Teton,2008,2485987
Grand Teton,2007,2588574
Grand Teton,2006,2406476
Grand Teton,2005,2463442
Grand Teton,2004,2360373
Grand Teton,2003,2355693
Grand Teton,2002,2612629
Grand Teton,2001,2535108
Grand Teton,2000,2590624
Grand Teton,1999,2680025
Grand Teton,1998,2757060
Grand Teton,1997,2658762
Grand Teton,1996,2733439
Grand Teton,1995,2731015
Grand Teton,1994,2540699
Grand Teton,1993,2568689
Grand Teton,1992,1744636
Grand Teton,1991,1625752
Grand Teton,1990,1588253
Grand Teton,1989,1331659
Grand Teton,1988,1232691
Grand Teton,1987,1450791
Grand Teton,1986,1306322
Grand Teton,1985,1334483
Grand Teton,1984,1360898
Grand Teton,1983,1532035
Grand Teton,1982,2534029
Grand Teton,1981,2643644
Grand Teton,1980,2555627
Grand Teton,1979,2446171
Great Basin,2019,131802
Great Basin,2018,153094
Great Basin,2017,168028
Great Basin,2016,144846
Great Basin,2015,116123
Great Basin,2014,107526
Great Basin,2013,92893
Great Basin,2012,94850
Great Basin,2011,91451
Great Basin,2010,88870
Great Basin,2009,84974
Great Basin,2008,69235
Great Basin,2007,81364
Great Basin,2006,78524
Great Basin,2005,77741
Great Basin,2004,79879
Great Basin,2003,87020
Great Basin,2002,85777
Great Basin,2001,81712
Great Basin,2000,81045
Great Basin,1999,90119
Great Basin,1998,80363
Great Basin,1997,90760
Great Basin,1996,86635
Great Basin,1995,87829
Great Basin,1994,88024
Great Basin,1993,91915
Great Basin,1992,69144
Great Basin,1991,63864
Great Basin,1990,65026
Great Basin,1989,70259
Great Basin,1988,73559
Great Basin,1987,63532
Great Basin,1986,40359
Great Basin,1985,36343
Great Basin,1984,37676
Great Basin,1983,30335
Great Basin,1982,32264
Great Basin,1981,33367
Great Basin,1980,33383
Great Basin,1979,29947
Great Sand_Dunes,2019,527546
Great Sand_Dunes,2018,442905
